Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,wOBA,wRC,wRAA,G,P,PA,AB,BA,OBP,SLG,OPS,ISO,K%,BB%,K/BB,HR%,R/G,AB/HR,BABIP,OutRate,WOBA,SB%,wRC_per_PA,wRC_plus
336,1207820544,L. Hill,Luke Hill,Hill,Luke,3B,University of Mississippi,MISS,5322,Ole Miss,BBC,R,R,0.417,63.08849999999999,23.8,63,1138,307,244,0.336,0.459,0.488,0.947,0.152,14.0%,15.0%,0.93,2.6%,1.05,30.50,0.376,59.4%,0.417,85.7%,0.20549999999999996,18.77090538460581
337,1090856448,A. Hausner,Anthony Hausner,Hausner,Anthony,TWP,The Citadel,CIT,730366720,The Citadel,BBC,L,R,0.402,29.722,10.1,46,622,154,125,0.336,0.447,0.464,0.911,0.128,16.9%,14.3%,1.18,1.9%,0.37,41.67,0.402,58.8%,0.402,25.0%,0.193,17.5769039463047
338,1306802176,L. Luskey,Luke Luskey,Luskey,Luke,1B,South Dakota State University,SDST,730323200,South Dakota State,BBC,R,R,0.451,40.21933333333333,18.1,40,680,172,149,0.336,0.401,0.691,1.092,0.356,22.1%,8.7%,2.53,8.1%,0.85,10.64,0.356,64.4%,0.451,66.7%,0.2338333333333333,21.54171820181663
339,1207845632,G. Collins,Gavin Collins,Collins,Gavin,LF,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,L,0.404,36.792,12.7,41,781,189,155,0.335,0.439,0.484,0.923,0.148,13.8%,13.8%,1.0,2.1%,0.85,38.75,0.375,59.4%,0.404,75.0%,0.19466666666666668,17.738039107439864
340,1141524480,T. Schreck,Thomas Schreck,Schreck,Thomas,SS,Army West Point,ARMY,4744,Army,BBC,R,R,0.413,40.63549999999999,15.0,50,723,201,158,0.335,0.449,0.494,0.943,0.158,17.4%,11.9%,1.46,1.5%,0.8,52.67,0.407,56.1%,0.413,66.7%,0.20216666666666663,18.481148955027322
341,1044505388,B. Blomquist,Braylen Blomquist,Blomquist,Braylen,2B,Wright State University,WRST,5390,Wright State,BBC,L,R,0.398,36.79533333333334,12.1,45,674,194,161,0.335,0.422,0.497,0.919,0.161,16.0%,8.8%,1.82,1.0%,1.2,80.50,0.394,59.8%,0.398,81.8%,0.1896666666666667,17.255575789924997
342,1184440064,T. Sanders,Travis Sanders,Sanders,Travis,2B,Baylor University,BAY,3033,Baylor,BBC,R,R,0.419,40.397499999999994,15.4,46,798,195,164,0.335,0.425,0.549,0.974,0.213,26.7%,11.8%,2.26,4.1%,0.93,20.50,0.443,50.9%,0.419,72.7%,0.20716666666666664,18.915898285299036
343,1085384960,J. Pokrovsky,Jarrett Pokrovsky,Pokrovsky,Jarrett,RF,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,R,0.396,35.344,11.5,41,704,188,167,0.335,0.394,0.533,0.927,0.198,14.4%,6.9%,2.08,1.6%,0.61,55.67,0.379,58.6%,0.396,80.0%,0.188,17.13548366445889
343,1190604296,J. Wachs,Jason Wachs,Wachs,Jason,RF,Tulane University,TULN,730354176,Tulane,BBC,L,R,0.413,42.45499999999999,15.6,51,786,210,167,0.335,0.457,0.479,0.936,0.144,16.2%,14.8%,1.1,1.0%,0.9,83.50,0.406,57.9%,0.413,50.0%,0.20216666666666663,18.447033816434573
345,1303790848,J. Randolph,Jake Randolph,Randolph,Jake,C,Presbyterian College,PRE,730184192,Presbyterian,BBC,R,R,0.363,32.099999999999994,6.8,49,644,200,173,0.335,0.405,0.416,0.821,0.081,8.0%,7.5%,1.07,1.0%,0.65,86.50,0.352,62.3%,0.363,75.0%,0.16049999999999998,14.418462387863146
346,1212862976,S. Lancia,Steven Lancia,Lancia,Steven,C,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,R,R,0.407,41.60216666666666,14.7,48,833,211,176,0.335,0.436,0.506,0.942,0.17,15.6%,15.2%,1.03,2.4%,0.85,35.20,0.386,59.3%,0.407,100.0%,0.19716666666666666,17.985287032412906
347,1330954240,R. Cooney,Ryan Cooney,Cooney,Ryan,2B,University of Oregon,ORE,4807,Oregon,BBC,R,R,0.411,46.91699999999999,17.0,57,856,234,182,0.335,0.445,0.5,0.945,0.165,9.0%,14.1%,0.64,2.6%,0.79,30.33,0.342,63.4%,0.411,93.8%,0.20049999999999996,18.28341965282041
348,1279228928,S. Solorzano,Steve Solorzano,Solorzano,Steve,TWP,New Mexico State University,NMSU,730302720,New Mexico State,BBC,R,R,0.441,52.766999999999996,22.7,50,894,234,185,0.335,0.47,0.551,1.021,0.216,15.0%,14.1%,1.06,3.4%,0.98,23.13,0.378,61.5%,0.441,100.0%,0.22549999999999998,20.719317088717844
348,1361665055,E. Espinal,Edian Espinal,Espinal,Edian,2B,University of Central Florida,UCF,730256640,Central Florida,BBC,S,R,0.4,42.858666666666664,14.3,51,824,224,185,0.335,0.434,0.47,0.905,0.135,13.4%,9.4%,1.43,1.8%,0.8,46.25,0.379,58.8%,0.4,68.8%,0.19133333333333333,17.402390959291715
350,1131318528,H. Moreno,Heladio Moreno,Moreno,Heladio,LF,Lamar University,LAM,730162432,Lamar,BBC,L,L,0.369,38.8925,9.2,54,831,235,200,0.335,0.409,0.425,0.834,0.09,14.9%,10.2%,1.46,0.4%,0.67,200.00,0.395,59.3%,0.369,91.7%,0.16549999999999998,14.933356004884418
350,1342169213,L. Smith,Lucas Smith,Smith,Lucas,RF,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,R,R,0.401,48.426,16.3,53,975,252,200,0.335,0.456,0.445,0.901,0.11,11.1%,15.5%,0.72,0.8%,0.77,100.00,0.376,59.0%,0.401,66.7%,0.19216666666666668,17.48671635611711
352,1097334050,C. Fralick,Chase Fralick,Fralick,Chase,C,Auburn University,AUB,5466,Auburn,BBC,L,R,0.394,46.58333333333333,14.7,58,963,250,212,0.335,0.426,0.472,0.897,0.137,16.4%,11.6%,1.41,1.6%,0.62,53.00,0.396,59.8%,0.394,0.0%,0.18633333333333332,16.898462387863145
353,1341291776,Z. Chamizo,Zach Chamizo,Chamizo,Zach,3B,San Jose State University,SJSU,730206720,San Jose State,BBC,L,R,0.383,42.34283333333333,12.1,55,795,239,215,0.335,0.388,0.507,0.895,0.172,15.5%,5.4%,2.85,2.1%,0.69,43.00,0.383,59.4%,0.383,-,0.17716666666666667,16.081223894139296
353,1297354496,G. Miranda,Gabe Miranda,Miranda,Gabe,1B,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,L,L,0.455,64.7465,29.5,55,1143,273,215,0.335,0.471,0.605,1.075,0.27,24.2%,16.5%,1.47,4.4%,0.93,17.92,0.439,56.1%,0.455,78.6%,0.23716666666666666,21.82432319372395
353,1876553123,K. Holiday,Khi Holiday,Holiday,Khi,CF,University of Southern Indiana,SIND,730288640,Southern Indiana,BBC,R,R,0.388,49.32266666666666,14.9,56,1040,272,215,0.335,0.449,0.409,0.858,0.074,15.1%,12.1%,1.24,0.7%,1.14,107.50,0.402,58.6%,0.388,88.9%,0.18133333333333332,16.496403564333733
356,1297508864,H. Friese,Hayden Friese,Friese,Hayden,1B,Western Carolina University,WCU,730278144,Western Carolina,BBC,L,R,0.41,55.10799999999999,19.9,57,1020,276,227,0.335,0.436,0.511,0.947,0.176,9.8%,12.3%,0.79,3.3%,0.95,25.22,0.344,61.5%,0.41,50.0%,0.19966666666666663,18.228607315399376
356,1370565674,C. Beck,Carter Beck,Beck,Carter,CF,Indiana State University,INST,730350080,Indiana State,BBC,L,R,0.418,54.471999999999994,20.8,55,920,264,227,0.335,0.417,0.564,0.981,0.229,13.6%,9.5%,1.44,4.2%,0.98,20.64,0.355,61.2%,0.418,84.6%,0.2063333333333333,18.89725026665102
358,1556185939,A. Hernandez,Alex Hernandez,Hernandez,Alex,TWP,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,0.431,58.635,24.0,59,1045,270,230,0.335,0.415,0.609,1.024,0.274,18.1%,11.9%,1.53,5.9%,0.8,14.38,0.359,61.8%,0.431,83.3%,0.21716666666666665,19.907351276752035
359,1093167104,K. Douglas,Kameron Douglas,Douglas,Kameron,TWP,Alabama State University,ALST,4765,Alabama State,BBC,R,R,0.441,62.463499999999996,26.8,59,1043,277,233,0.335,0.419,0.639,1.058,0.305,21.3%,11.9%,1.79,6.1%,0.85,13.71,0.374,60.7%,0.441,100.0%,0.22549999999999998,20.693552640570722
360,1238255872,L. Mistone,Luke Mistone,Mistone,Luke,1B,Murray State University,MURR,730188032,Murray State,BBC,R,R,0.38,49.43066666666667,13.6,61,911,283,248,0.335,0.399,0.476,0.875,0.141,5.7%,8.1%,0.7,1.4%,0.92,62.00,0.339,64.4%,0.38,50.0%,0.17466666666666666,15.82411609811049
361,1109527296,D. Mathews,Duncan Mathews,Mathews,Duncan,C,University of South Alabama,USA,730298880,South Alabama,BBC,R,R,0.409,36.3865,13.0,46,719,183,138,0.333,0.483,0.413,0.896,0.08,12.6%,19.7%,0.64,1.1%,0.52,69.00,0.386,60.5%,0.409,33.3%,0.19883333333333333,18.122287524475166
361,1314887424,D. Burress,Drew Burress,Burress,Drew,CF,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,0.481,75.06166666666665,37.4,60,1165,290,228,0.333,0.469,0.693,1.162,0.36,14.5%,18.3%,0.79,6.6%,1.28,12.00,0.337,63.9%,0.481,90.9%,0.2588333333333333,23.915014112001074
361,1085407744,J. Goodman,Jack Goodman,Goodman,Jack,SS,Northeastern University,NE,343,Northeastern,BBC,R,R,0.407,46.13699999999999,16.3,53,874,234,204,0.333,0.406,0.544,0.95,0.211,20.9%,11.1%,1.88,4.3%,0.83,20.40,0.392,58.8%,0.407,74.1%,0.19716666666666663,17.98427435367511
361,1101830656,J. Ference,Jacob Ference,Ference,Jacob,C,University of Virginia,UVA,5415,Virginia,BBC,R,R,0.454,37.10433333333334,16.9,39,677,157,126,0.333,0.465,0.595,1.06,0.262,21.7%,14.0%,1.55,5.7%,0.85,14.00,0.398,57.8%,0.454,90.0%,0.23633333333333334,21.782793598054223
361,1132701184,C. McGinnis,Cal McGinnis,McGinnis,Cal,2B,University of Evansville,EVAN,730327808,Evansville,BBC,L,R,0.367,35.38799999999999,8.2,47,723,216,192,0.333,0.391,0.448,0.839,0.115,8.8%,7.4%,1.19,1.9%,0.55,48.00,0.349,63.4%,0.367,100.0%,0.1638333333333333,14.81475868415944
361,1132722944,T. Rumsey,Ty Rumsey,Rumsey,Ty,CF,University of Evansville,EVAN,730327808,Evansville,BBC,L,R,0.388,46.784,14.1,54,932,258,213,0.333,0.426,0.455,0.882,0.122,18.2%,9.7%,1.88,1.6%,0.93,53.25,0.399,57.7%,0.388,88.6%,0.18133333333333332,16.483578666932914
361,1192537344,J. Urban,Joseph Urban,Urban,Joseph,CF,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,R,R,0.418,42.092,16.0,53,725,204,174,0.333,0.417,0.552,0.969,0.218,20.1%,10.3%,1.95,4.4%,0.68,19.33,0.395,57.3%,0.418,66.7%,0.20633333333333334,18.861599642765103
361,1201258496,C. Misch,Connor Misch,Misch,Connor,1B,Xavier University,XAV,5464,Xavier,BBC,R,L,0.425,56.01199999999999,22.2,59,1014,264,198,0.333,0.485,0.47,0.955,0.136,16.7%,16.7%,1.0,1.5%,0.71,49.50,0.403,55.2%,0.425,66.7%,0.21216666666666664,19.427553296954052
361,1207913472,C. Hoiland,Cam Hoiland,Hoiland,Cam,RF,Cal Poly,CP,5487,Cal Poly,BBC,L,L,0.394,33.16733333333333,10.5,54,633,178,159,0.333,0.392,0.522,0.914,0.189,17.4%,7.9%,2.21,3.4%,0.69,26.50,0.382,60.2%,0.394,-,0.18633333333333332,16.917338792357526
361,1105460480,T. Rodriguez,Taer Rodriguez,Rodriguez,Taer,3B,Dartmouth College,DART,730216192,Dartmouth,BBC,R,R,0.383,29.055333333333333,8.2,36,624,164,129,0.333,0.45,0.388,0.838,0.054,17.1%,10.4%,1.65,0.0%,0.67,-,0.417,57.3%,0.383,50.0%,0.17716666666666667,16.018462387863142
361,1080156160,C. Hassert,Cameron Hassert,Hassert,Cameron,SS,Loyola Marymount University,LMU,730149120,Loyola Marymount,BBC,L,R,0.404,53.144000000000005,18.3,56,986,273,219,0.333,0.443,0.47,0.913,0.137,20.1%,8.1%,2.5,2.2%,1.02,36.50,0.411,56.4%,0.404,94.7%,0.19466666666666668,17.721759091159843
361,1188602368,A. Whitley,Aaron Whitley,Whitley,Aaron,CF,University of Richmond,RICH,730171904,Richmond,BBC,R,R,0.421,53.46133333333333,20.7,51,847,256,213,0.333,0.434,0.54,0.973,0.207,8.6%,7.8%,1.1,3.1%,1.35,26.63,0.339,64.5%,0.421,92.3%,0.20883333333333332,19.104399887863146
361,1157355776,B. Rocha,Bubba Rocha,Rocha,Bubba,LF,California Baptist University,CBU,5091,California Baptist,BBC,R,R,0.415,40.766666666666666,15.2,46,845,200,156,0.333,0.462,0.474,0.936,0.141,21.0%,15.0%,1.4,1.5%,0.85,52.00,0.434,53.1%,0.415,77.8%,0.20383333333333334,18.618462387863143
361,1078579712,J. Bant,Jay Bant,Bant,Jay,1B,Monmouth University,MONM,4164,Monmouth,BBC,L,R,0.398,41.916333333333334,13.9,50,712,221,195,0.333,0.394,0.538,0.932,0.205,11.8%,6.8%,1.73,3.2%,0.62,27.86,0.353,63.5%,0.398,100.0%,0.18966666666666668,17.308055148044136
361,1207881216,B. Zeigler-Namoa,Ben Zeigler-Namoa,Zeigler-Namoa,Ben,1B,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,L,L,0.392,47.82866666666667,14.9,56,928,259,216,0.333,0.409,0.509,0.919,0.176,14.7%,12.0%,1.23,2.7%,0.73,30.86,0.361,62.2%,0.392,33.3%,0.18466666666666667,16.771358140758895
361,1087416064,P. Woods,Peyton Woods,Woods,Peyton,1B,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,L,R,0.371,20.895833333333332,5.1,41,502,125,114,0.333,0.379,0.474,0.853,0.14,27.2%,4.8%,5.67,1.6%,0.51,57.00,0.456,54.4%,0.371,-,0.16716666666666666,15.098462387863144
361,1383694193,M. Gupton,Michael Gupton,Gupton,Michael,CF,Samford University,SAM,730386432,Samford,BBC,R,R,0.436,48.029333333333334,20.1,55,780,217,192,0.333,0.401,0.63,1.031,0.297,27.6%,5.1%,5.45,6.9%,0.91,12.80,0.412,58.0%,0.436,76.9%,0.22133333333333333,20.28113519892305
361,1925267789,C. Kozeal,Cam Kozeal,Kozeal,Cam,1B,University of Arkansas,ARK,3375,Arkansas,BBC,L,R,0.419,53.03466666666666,20.2,60,946,256,231,0.333,0.386,0.606,0.992,0.273,20.7%,7.4%,2.79,5.9%,0.82,15.40,0.376,60.6%,0.419,66.7%,0.20716666666666664,18.909087387863146
361,1679882311,L. Alberti,Lucas Alberti,Alberti,Lucas,LF,George Mason University,GMU,730265088,George Mason,BBC,R,R,0.409,57.860499999999995,20.7,61,1073,291,234,0.333,0.455,0.462,0.916,0.128,16.5%,14.1%,1.17,1.7%,0.95,46.80,0.403,56.9%,0.409,76.2%,0.1988333333333333,18.131864449718815
361,1695405670,C. Willis,CJ Willis,Willis,CJ,RF,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,R,R,0.432,56.025999999999996,23.0,53,917,257,219,0.333,0.422,0.607,1.029,0.274,12.1%,11.3%,1.07,5.1%,1.02,16.85,0.339,65.0%,0.432,75.0%,0.21799999999999997,19.967878730275597
361,1218907422,J. Hanley,Jake Hanley,Hanley,Jake,1B,"Indiana University, Bloomington",IND,4866,Indiana,BBC,L,R,0.429,56.029999999999994,22.6,56,1005,260,219,0.333,0.429,0.575,1.004,0.242,17.3%,12.7%,1.36,5.4%,0.86,15.64,0.364,60.5%,0.429,100.0%,0.21549999999999997,19.710770080170835
361,1165397757,A. Dougherty,Aidan Dougherty,Dougherty,Aidan,LF,University of Connecticut,CONN,5486,Connecticut,BBC,R,R,0.382,31.210999999999995,8.8,45,667,177,150,0.333,0.417,0.447,0.864,0.113,10.2%,9.6%,1.06,1.1%,0.67,75.00,0.364,62.1%,0.382,78.6%,0.17633333333333331,15.990213800292524
361,1488606660,J. Ballin,Jordan Ballin,Ballin,Jordan,2B,UTSA,UTSA,730373120,UTSA,BBC,L,R,0.433,40.702999999999996,16.9,50,732,186,126,0.333,0.541,0.373,0.914,0.04,10.8%,22.0%,0.49,0.0%,0.92,-,0.396,57.5%,0.433,66.7%,0.21883333333333332,20.10448389323949
384,1310362624,J. Ogden,Jake Ogden,Ogden,Jake,SS,University of Miami,MIA,236,Miami,BBC,R,R,0.388,51.86133333333333,15.7,62,1061,286,253,0.332,0.399,0.494,0.893,0.162,14.3%,8.0%,1.78,3.1%,1.02,28.11,0.373,59.8%,0.388,92.9%,0.18133333333333332,16.507972877373632
385,1099971072,P. Fultz,Patrick Fultz,Fultz,Patrick,3B,Wright State University,WRST,5390,Wright State,BBC,L,R,0.404,56.45333333333334,19.5,59,1133,290,235,0.332,0.446,0.468,0.914,0.136,22.4%,16.9%,1.33,2.4%,0.9,33.57,0.428,56.0%,0.404,75.0%,0.19466666666666668,17.74260031889763
386,1142738944,J. Walsh,Jacob Walsh,Walsh,Jacob,1B,University of Oregon,ORE,4807,Oregon,BBC,L,L,0.458,66.148,30.5,58,1071,276,232,0.332,0.435,0.655,1.09,0.323,18.1%,13.0%,1.39,6.9%,0.93,12.21,0.354,64.0%,0.458,88.9%,0.23966666666666664,22.069187025544302
387,1162511360,C. Krauss,Chayton Krauss,Krauss,Chayton,1B,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,R,R,0.421,54.92316666666666,21.2,58,1034,263,226,0.332,0.399,0.615,1.014,0.283,21.3%,10.6%,2.0,5.7%,0.86,15.07,0.37,61.7%,0.421,85.7%,0.20883333333333332,19.079298889764285
387,1232240129,A. Madera,Alex Madera,Madera,Alex,SS,University of North Carolina,UNC,730181888,North Carolina,BBC,L,R,0.375,46.376,12.0,61,1020,272,226,0.332,0.432,0.403,0.834,0.071,12.9%,14.7%,0.88,0.7%,0.72,113.00,0.38,59.9%,0.375,92.9%,0.17049999999999998,15.430227093745497
389,1183044096,J. King,Jimmy King,King,Jimmy,SS,College of the Holy Cross,HC,730310656,Holy Cross,BBC,R,R,0.375,42.7955,11.1,58,882,251,220,0.332,0.402,0.459,0.861,0.127,12.4%,10.0%,1.24,0.4%,0.76,220.00,0.377,59.7%,0.375,95.2%,0.17049999999999998,15.440773144835257
389,1205047296,N. Mazzotta,Nicholas Mazzotta,Mazzotta,Nicholas,TWP,Wagner College,WAG,730192640,Wagner,BBC,R,R,0.37,43.41299999999999,10.5,53,750,261,220,0.332,0.417,0.414,0.831,0.082,6.5%,10.3%,0.63,0.4%,0.81,220.00,0.351,63.4%,0.37,86.4%,0.1663333333333333,15.04145089361027
391,1176047872,E. Moomau,Easton Moomau,Moomau,Easton,3B,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,L,R,0.376,44.032666666666664,11.4,54,994,257,217,0.332,0.42,0.424,0.844,0.092,10.9%,12.5%,0.88,1.2%,0.96,72.33,0.365,60.3%,0.376,62.5%,0.1713333333333333,15.454260053232794
392,1097597440,J. Harris,Jackson Harris,Harris,Jackson,1B,Samford University,SAM,730386432,Samford,BBC,L,L,0.384,43.431999999999995,12.4,54,791,244,214,0.332,0.402,0.477,0.878,0.145,12.3%,6.6%,1.88,2.0%,0.81,42.80,0.363,62.1%,0.384,60.0%,0.178,16.1004296009779
392,1310335744,C. Rasmussen,Connor Rasmussen,Rasmussen,Connor,2B,Tulane University,TULN,730354176,Tulane,BBC,L,R,0.396,50.008,16.2,58,965,266,214,0.332,0.427,0.481,0.909,0.15,10.5%,11.3%,0.93,1.9%,0.71,42.80,0.351,63.8%,0.396,50.0%,0.188,17.108687951772914
394,1097597952,C. Carr,Cade Carr,Carr,Cade,C,Samford University,SAM,730386432,Samford,BBC,R,R,0.408,51.08399999999999,18.2,56,933,258,211,0.332,0.422,0.531,0.953,0.199,17.8%,9.3%,1.92,3.1%,0.77,26.38,0.376,60.6%,0.408,0.0%,0.19799999999999995,18.072725953754613
395,1324040192,B. Chance,Bryce Chance,Chance,Bryce,CF,Mississippi State University,MSST,5080,Mississippi State,BBC,R,R,0.377,41.66433333333333,11.1,58,885,242,208,0.332,0.399,0.466,0.866,0.135,16.1%,9.5%,1.7,1.7%,0.84,52.00,0.385,60.4%,0.377,90.9%,0.17216666666666666,15.605239247367276
396,1139944960,R. Niedzwiedz,Ryan Niedzwiedz,Niedzwiedz,Ryan,1B,Southern Illinois Univ.-Edwardsville,SIUE,730298112,SIU Edwardsville,BBC,L,R,0.412,48.92399999999999,18.0,53,964,243,199,0.332,0.434,0.538,0.972,0.206,12.3%,12.3%,1.0,3.3%,0.75,24.88,0.355,61.4%,0.412,75.0%,0.2013333333333333,18.42586979527055
397,1762898844,B. Torres,Boston Torres,Torres,Boston,LF,Virginia Military Institute,VMI,730173440,VMI,BBC,L,L,0.443,57.927499999999995,25.1,53,1056,255,196,0.332,0.465,0.571,1.036,0.24,14.5%,17.6%,0.82,4.3%,1.28,17.82,0.353,61.4%,0.443,86.4%,0.22716666666666666,20.861599642765107
397,1302717816,L. Hairston,Landon Hairston,Hairston,Landon,RF,Arizona State University,ASU,5035,Arizona State,BBC,L,L,0.4,45.53733333333333,15.3,53,890,238,196,0.332,0.441,0.464,0.905,0.133,9.7%,14.7%,0.66,1.7%,0.94,49.00,0.357,63.2%,0.4,57.1%,0.19133333333333333,17.44703381643457
399,1198411264,A. Vining,Ashby Vining,Vining,Ashby,C,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,R,R,0.385,38.80683333333333,11.2,47,673,217,193,0.332,0.387,0.528,0.916,0.197,11.5%,8.3%,1.39,4.6%,0.77,19.30,0.333,65.4%,0.385,100.0%,0.17883333333333332,16.17975271044379
400,1248450048,A. Stewart,Aiden Stewart,Stewart,Aiden,2B,University of Delaware,DEL,730203136,Delaware,BBC,L,R,0.451,56.8215,25.4,53,1014,243,190,0.332,0.469,0.584,1.053,0.253,22.6%,16.9%,1.34,3.7%,0.66,21.11,0.422,55.5%,0.451,80.0%,0.23383333333333334,21.471137284982483
400,1107073280,B. Jacklin,Blake Jacklin,Jacklin,Blake,RF,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,L,R,0.394,42.297666666666665,13.4,48,924,227,190,0.332,0.424,0.474,0.898,0.142,12.3%,13.2%,0.93,2.2%,1.0,38.00,0.365,61.6%,0.394,78.9%,0.18633333333333332,16.921546088303675
400,1207812352,T. Stockman,Tucker Stockman,Stockman,Tucker,C,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,R,R,0.39,40.626,12.5,56,782,222,190,0.332,0.414,0.474,0.887,0.142,24.8%,6.8%,3.67,2.7%,0.73,31.67,0.435,52.7%,0.39,-,0.183,16.649093018493776
400,1263905536,D. Calabrese,Daniel Calabrese,Calabrese,Daniel,CF,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,R,R,0.381,38.0835,10.6,48,695,217,190,0.332,0.395,0.479,0.874,0.147,19.4%,6.0%,3.23,2.3%,0.9,38.00,0.397,59.6%,0.381,75.0%,0.17550000000000002,15.903255014591256
404,1334313728,B. Atkinson,Bobby Atkinson,Atkinson,Bobby,LF,Bradley University,BRAD,730253312,Bradley,BBC,L,L,0.442,52.056666666666665,22.4,51,807,230,184,0.332,0.457,0.582,1.038,0.25,13.9%,13.9%,1.0,3.0%,0.88,26.29,0.367,61.2%,0.442,66.7%,0.22633333333333333,20.757592822645755
405,1271007232,E. Frey,Ethan Frey,Frey,Ethan,RF,Louisiana State University,LSU,5323,Louisiana State,BBC,R,R,0.444,48.336,21.0,61,932,212,181,0.331,0.42,0.641,1.061,0.309,22.2%,13.7%,1.62,6.1%,0.7,13.92,0.382,56.1%,0.444,80.0%,0.22799999999999998,20.924122765221632
405,1336138240,C. Fellows,Cole Fellows,Fellows,Cole,LF,Columbia University,CLMB,730319104,Columbia,BBC,L,R,0.398,40.58866666666667,13.3,48,767,214,181,0.331,0.416,0.503,0.919,0.171,15.0%,11.2%,1.33,2.3%,0.83,36.20,0.372,60.1%,0.398,100.0%,0.18966666666666668,17.233415658891182
407,1100740096,E. Swidler,Ethan Swidler,Swidler,Ethan,C,Lafayette College,LAF,730217728,Lafayette,BBC,R,R,0.421,46.56983333333333,18.1,49,901,223,178,0.331,0.462,0.494,0.956,0.163,17.0%,17.0%,1.0,2.2%,0.82,35.60,0.397,56.6%,0.421,-,0.20883333333333332,19.135054316114264
408,1342167992,B. Rogers,Brett Rogers,Rogers,Brett,RF,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,L,R,0.366,30.643999999999995,6.9,48,665,188,172,0.331,0.383,0.453,0.836,0.122,19.1%,6.9%,2.77,1.6%,0.48,57.33,0.403,55.2%,0.366,90.9%,0.16299999999999998,14.68867515382059
409,1257413888,F. Carney,Frankie Carney,Carney,Frankie,CF,UC Irvine,UCI,3031,UC Irvine,BBC,L,R,0.375,34.782,8.9,45,836,204,169,0.331,0.431,0.402,0.833,0.071,23.0%,12.7%,1.81,0.0%,0.76,-,0.452,53.2%,0.375,66.7%,0.17049999999999998,15.38120748590236
410,1342168061,K. Wood,Kade Wood,Wood,Kade,SS,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,0.392,33.05533333333334,10.3,41,340,179,160,0.331,0.386,0.525,0.911,0.194,10.1%,7.8%,1.29,3.9%,0.98,22.86,0.338,62.5%,0.392,92.9%,0.18466666666666667,16.77265233199722
411,1843543813,C. Gunderson,Cody Gunderson,Gunderson,Cody,1B,UNC Charlotte,CHAR,730214400,Charlotte,BBC,R,R,0.435,42.997499999999995,18.0,45,824,195,157,0.331,0.462,0.548,1.009,0.217,25.1%,13.8%,1.81,4.1%,0.69,19.63,0.44,54.0%,0.435,-,0.22049999999999997,20.249231618632376
411,1839502953,J. Ibe,Joshua Ibe,Ibe,Joshua,1B,Stephen F. Austin State University,SFA,730227200,Stephen F. Austin State,BBC,R,R,0.464,47.71,22.5,46,723,195,157,0.331,0.446,0.675,1.121,0.344,21.5%,14.9%,1.45,7.2%,0.76,11.21,0.365,59.6%,0.464,100.0%,0.24466666666666667,22.55692392632468
413,1162597120,S. Panaro,Santino Panaro,Panaro,Santino,CF,University of Utah,UTAH,730328320,Utah,BBC,L,L,0.393,33.9465,10.7,44,567,183,151,0.331,0.42,0.47,0.89,0.139,7.7%,4.9%,1.56,1.1%,0.66,75.50,0.356,61.5%,0.393,100.0%,0.1855,16.865456923382272
413,1330362005,G. Macias,Garrett Macias,Macias,Garrett,C,Gardner Webb University,WEBB,730222592,Gardner Webb,BBC,R,R,0.377,29.4405,7.8,46,664,171,151,0.331,0.404,0.45,0.854,0.119,16.4%,8.8%,1.87,2.3%,0.46,37.75,0.383,57.5%,0.377,-,0.17216666666666666,15.579865896635075
415,1342169509,W. Stanley,Wyatt Stanley,Stanley,Wyatt,1B,Western Carolina University,WCU,730278144,Western Carolina,BBC,L,L,0.432,42.074,17.2,50,817,193,148,0.331,0.466,0.534,1.0,0.203,22.3%,15.5%,1.43,1.0%,0.7,74.00,0.439,53.3%,0.432,-,0.218,19.930379486308738
416,1310536704,L. Nomura,Luke Nomura,Nomura,Luke,SS,Fairfield University,FAIR,730380544,Fairfield,BBC,R,R,0.437,65.98349999999999,27.7,58,1132,297,245,0.331,0.443,0.576,1.018,0.245,16.2%,15.8%,1.02,4.7%,1.12,17.50,0.364,59.8%,0.437,84.2%,0.22216666666666665,20.34506171446247
